LineItem,Parent,GrandParent
Telephone & Internet,TOTAL COMMUNICATION,TOTAL COMMUNICATION
Taxi & Uber Charges,TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT
Repairs - General,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Eduardo Hochschild,ADMINISTRATION,ADMINISTRATION
Training,Total Employer Benefits,STAFF COST
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Staff Uniform Re-Purchases,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Kitchen,BOH SALARIES,STAFF COST
Loan 2,Interest on Loans,FINANCIAL COST
Packaging supply,TOTAL SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Retained Earnings,Total Wages - F.O.H. Salaried,STAFF COST
Airfare,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Wage Garnishment,TOTAL EMPLOYEE BENEFITS,STAFF COST
Mailchimp & Mailers,TOTAL PROMOTION,TOTAL PROMOTION
Chase - Saving 3961,TOTAL OTHER FINANCIAL COST,Total Other Financial Costs
Linen Likes/C-Folds,SUPPLIES & MAINTENANCE,TOTAL SUPPLIES & MAINTENANCE
FOH Supplies / accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Juan Correa,Total Wages - F.O.H. Salaried,STAFF COST
Postage / Courier,TOTAL COMMUNICATION,TOTAL COMMUNICATION
IC Llama Spiral,Total Wages - F.O.H. Wages,STAFF COST
P & L Amortization,PL Depreciation & Amortization,PL Depreciation & Amortization
Food Inventory,Cost of Sales - Food,TOTAL COST OF GOODS SOLD
Gift Card Liability,Total Wages - F.O.H. Salaried,STAFF COST
Silverware,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
Sous Chef,TOTAL STAFF COST,STAFF COST
Opening Balance Equity,TOTAL OTHER INCOME,Total Other Income
2,Total Wages,STAFF COST
Line Cook,Wages - B.O.H.,STAFF COST
Window Cleaning,TOTAL REPAIRS & MAINTENANCE,TOTAL OTHER EXPENSE
Office,Office Supplies/Stationery,CONTROLLABLES
Employer Taxes,Employer Taxes,STAFF COST
CAM Charges,OCCUPANCY,OCCUPANCY
R&D Dining Expenses,TOTAL PROMOTION,TOTAL PROMOTION
PR / Events,TOTAL PROMOTION,TOTAL PROMOTION
Suspense Acc - CC 0848 & 4409,Total Wages - F.O.H. Wages,STAFF COST
Reconciliation Discrepancies,Other Expenses,Total Other Expense
El Golpe Holdings INC.,TOTAL STAFF COST,STAFF COST
BOH & FOH Supplies,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
Revenue - Tea/Coffee,REVENUE,REVENUE
Music,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
General Liability Insurance,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Charity,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Cost of Sales - Food,COST OF GOODS SOLD,COST OF GOODS SOLD
Bank Transfer A/C,Other Income & Expenses,Other Income & Expenses
Payroll Misc Deductions,Total Wages,STAFF COST
Glassware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Cleaning Servies,RESTAURANT UTILITIES,RESTAURANT UTILITIES
Equipment Rental & AutoChlor,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
Commission Expense,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Wine - Stock Adjustment,Cost of Sales - Wines,Cost of Sales - Wines
Food - Stock Adjustment,Cost of Sales - Food,Cost of Sales - Food
Liquor Inventory,Cost of Sales - Liquor,Cost of Sales - Liquor
Revenue - Other Beverages,TOTAL REVENUE,REVENUE
Cash Tips Payable,Wages - Tips,STAFF COST
Branding & Design,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Suspense Acc - Bank Acc 1253,Other Expense,Total Other Expense
Revenue - Wines,REVENUE,REVENUE
6,Total Wages - F.O.H. Wages,STAFF COST
White Plains Linen & Laundry,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
Kitchen Buildout,Controllables,TOTAL OTHER STAFF COST
Advertising/Promotion,TOTAL ADVERTISING AND MARKETING,TOTAL ADVERTISING AND MARKETING
Suspense Acc - Bank Acc 3150,Other Expense,Total Other Expense
Royalties,FINANCIAL COST,FINANCIAL COST
Office Supplies/Stationery,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Kitchen/Hood,Kitchen/Hood,Other Expenses
Tax Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
RRF - Loan Liability,Interest on Loans,FINANCIAL COST
Non-Operating Expenses,Non-Operating Expenses,Non-Operating Expenses
Equipment,TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
Travel Expenses,TOTAL TRAVEL & ENTERTAINMENT,TOTAL TRAVEL & ENTERTAINMENT
IC Deli Llama Inn,Total Cost of Sales - Meat,COST OF GOODS SOLD
Wages-Bonus,TOTAL STAFF COST,TOTAL STAFF COST
Chef,Wages - F.O.H. Wages,STAFF COST
Sales Ledger Control A/C - Gift,Total Wages - F.O.H. Salaried,STAFF COST
Payroll Tax Payable,Total Employer Taxes,Total Employer Taxes
Real Estate Escalation Tax,OCCUPANCY,OCCUPANCY
Wages-SummerLong,TOTAL STAFF COST,TOTAL STAFF COST
Chef Salaries,TOTAL STAFF COST,TOTAL STAFF COST
Estimates,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Food Purchases,Cost of Sales - Food,Cost of Sales - Food
1,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Leasehold Improvements,Leasehold Improvements,OTHER INCOME & EXPENSES
"Landscape, Flowers & Candles",SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Cost of Sales - Wine,COST OF GOODS SOLD,COST OF GOODS SOLD
Retail Purchases,Total Cost of Sales - Retails,COST OF GOODS SOLD
Tea/Coffee - Stock Adjustment,Cost of Sales - Tea/Coffee,Cost of Sales - Tea/Coffee
Electricity,OCCUPANCY,OCCUPANCY
Accounts Payable - USD,Other Expenses,Other Expense
Bar Tender \ Barbacks,Wages - B.O.H.,STAFF COST
Legal Attorney,Legal & Accounting,G&A
Uncleared Checks Liability,Other Expense,Total Other Expense
PPP - Rent,Total Wages - F.O.H. Salaried,STAFF COST
Web Design & Maintenance,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Embezzlement,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Retail - Stock Adjustment,Total Cost of Sales - Retails,COST OF GOODS SOLD
Tips Paid,Tips Paid,Tips Paid
Staff Recruitment,OTHER STAFF COST,OTHER STAFF COST
Valet Parking - Guest,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Structural Engineer,Controllables - Other,TOTAL OTHER STAFF COST
Repairs / Maintenance,TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
Subscriptions,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Sales Tax Payable - Tourism,Sales Tax,TOTAL OTHER STAFF COST
Acoustical,DIRECT OPERATING EXPENSES,CONTROLLABLES
Uncategorized Expense,Total Other Expense,Other Expense
Supplies,Supplies,SUPPLIES & MAINTENANCE
Cash - Wages,STAFF COST,STAFF COST
Tea/Coffee Inventory,Cost of Sales - Tea/Coffee,Total Cost of Sales
Accounts Payable - EUR,ADMINISTRATION,ADMINISTRATION
Revenue - Food,REVENUE,REVENUE
BOH Supplies / accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Payroll Processing Charges,FINANCIAL COST,FINANCIAL COST
Legal Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Members Allocation,Total Wages - F.O.H. Salaried,STAFF COST
Credit Card - 2,Total Wages - F.O.H. Salaried,STAFF COST
Non-GC Buildout,OTHER EXPENSES,OTHER EXPENSES
Penalties,FINANCIAL COST,FINANCIAL COST
IC Llama Spiral 66,Total Wages - F.O.H. Salaried,STAFF COST
Donations,FINANCIAL COST,FINANCIAL COST
"Hood, Grease Traps & Beer Lines",DIRECT OPERATING EXPENSES,CONTROLLABLES
Deposit - Other,Other Expense,Total Other Expense
Lighting Consultant,Controllables - Other,TOTAL OTHER STAFF COST
Barware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Wine Inventory,Total Cost of Sales - Wines,COST OF GOODS SOLD
Cost of Sales - Liquor,COST OF GOODS SOLD,COST OF GOODS SOLD
GC Buildout,Total Wages - F.O.H. Salaried,STAFF COST
P & L Depreciation,PL Depreciation & Amortization,PL Depreciation & Amortization
Repairs - Building,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
F&F,TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
Business Development Cost,Business Development Cost,Business Development Cost
Wages - 1099,OTHER STAFF COST,OTHER STAFF COST
MEP,DIRECT OPERATING EXPENSES,CONTROLLABLES
PPP - Loan Liability,Interest & Other Expenses,FINANCIAL COST
Chinaware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Fees,Fees,P&L AMORTIZATION
Beer - Stock Adjustment,Cost of Sales - Beer,Cost of Sales - Beer
Wages - F.O.H Management,TOTAL STAFF COST,TOTAL STAFF COST
Supplies & Maintenance,TOTAL SUPPLIES & MAINTENANCE,TOTAL OTHER EXPENSE
Wages - Agency,OTHER STAFF COST,OTHER STAFF COST
Revenue - Summer Long,TOTAL REVENUE,REVENUE
Investment to Llama San,Total Other Income,Total Other Income
Management Fees,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Members Contributions,Other Income & Expenses,Total Other Income
Lodging,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Advertising,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Licenses and Permits,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Accrued Liabilities,Other Expense,TOTAL OTHER EXPENSE
Code & Expeditor,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
Dry Cleaning & Uniforms Clean,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
Dental,Total Employer Benefits,STAFF COST
AllPro & DayNite,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Manuel Yunga,STAFF COST,STAFF COST
LLama Miami,Total Wages - F.O.H. Salaried,STAFF COST
4,TOTAL STAFF COST,STAFF COST
Other Staff Cost,TOTAL STAFF COST,STAFF COST
Susp Acc - Check Against 2015,Total Employer Benefits,Total Employer Benefits
Revenue - Liquor,REVENUE,REVENUE
Cost of Sales - Tea/Coffee,COST OF GOODS SOLD,COST OF GOODS SOLD
Storage Rent &Vestibule Storage,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Tips Payable,Wages - F.O.H. Salaried,STAFF COST
Cost of Sales - Retails,COST OF GOODS SOLD,COST OF GOODS SOLD
Photography,Total Third Party Fees,ADMINISTRATION
Chase - CAPEX 3150,TOTAL OTHER EXPENSE,TOTAL OTHER STAFF COST
Ny Re-employment,Total Employer Taxes,STAFF COST
PPP - Payroll Liability,Total Wages - F.O.H. Salaried,STAFF COST
Garbage Disposal,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
Hood Buildout,Direct Operating Expenses,CONTROLLABLES
401K - Retirement Plan,Total Employer Benefits,STAFF COST
Repairs & Maintenance,TOTAL REPAIRS & MAINTENANCE,TOTAL OTHER EXPENSE
Long Term Debt,Interest & Other Expenses,TOTAL OTHER FINANCIAL COST
Suspense Acc - Bank Acc 3961,Other Expense,Other Income & Expenses
Other Income,Other Income & Expenses,Other Income & Expenses
Revenue - Beer,TOTAL REVENUE,REVENUE
Corporation Tax,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Paper Supplies-SummerLong,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
Audio/Visual,Total Operating Expenses,TOTAL OPERATING EXPENSES
Chase Savings - 3453,Total Wages - F.O.H. Hourly,Total Wages - F.O.H. Hourly
Pest Control,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Test,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Staff Training,OTHER STAFF COST,OTHER STAFF COST
Cost of Sales - Other Bev,COST OF GOODS SOLD,COST OF GOODS SOLD
Tournant,Wages - B.O.H. Salaried,STAFF COST
Building & Improvement,Controllables,TOTAL OTHER STAFF COST
Interior Design,TOTAL PROMOTION,ADVERTISING / PROMOTION
Professional Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Liquor Purchases,COG Liquor,COST OF GOODS SOLD
Staff First Aid,OTHER STAFF COST,OTHER STAFF COST
Platware,TOTAL SUPPLIES & CLEANING,TOTAL SUPPLIES & CLEANING
Cost of Goods - Summer Long,TOTAL COST OF GOODS SOLD,COST OF GOODS SOLD
Construction Management,Direct Operating Expenses,CONTROLLABLES
Undeposited Funds,Other Income & Expenses,Total Other Income
Plant Maintenance,TOTAL REPAIRS & MAINTENANCE,TOTAL OTHER EXPENSE
Revenue - Covid Surcharge,TOTAL REVENUE,REVENUE
Used Tax on Comps,ADVERTISING/PROMOTION,ADVERTISING/PROMOTION
IT Securing,TOTAL OTHER EXPENSE,TOTAL OTHER EXPENSE
Architect,ADMINISTRATION,TOTAL OTHER EXPENSE
Net Wages Payable - Other,Wages - B.O.H. Salaried,Wages - B.O.H. Salaried
Staff Wages,TOTAL STAFF COST,STAFF COST
Net Wages Payable,Total Wages - F.O.H. Salaried,STAFF COST
Inventory,Cost of Goods Sold,TOTAL COST OF GOODS SOLD
Communication,TOTAL COMMUNICATION,TOTAL OTHER EXPENSE
State SUI,TOTAL STAFF COST,STAFF COST
Prepaid Expenses,Total Other Expense,TOTAL OTHER STAFF COST
Staff Accommodation/Relocation,OTHER STAFF COST,OTHER STAFF COST
Complimentary Cost,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Revenue - Other,TOTAL REVENUE,REVENUE
Internet/Email,TOTAL COMMUNICATION,TOTAL COMMUNICATION
Tea/Coffee Purchases,Cost of Sales - Tea/Coffee,Cost of Sales - Tea/Coffee
Permits,TOTAL OCCUPANCY,OCCUPANCY
IC La Molina Shared Service Inc,Total Other Income,REVENUE
Staff Loans/Salary Advances,Other Expenses,TOTAL OTHER EXPENSES
Credit Card - 7282,Interest & Other Expenses,FINANCIAL COST
Medical,Total Employer Benefits,STAFF COST
