LineItem,Parent,GrandParent
Under/Over,Other Expenses,Other Expenses
Inter-Company - G&G Hospitality,TOTAL OTHER STAFF COST,TOTAL STAFF COST
Loan from David,Transfer From/To  Piccolina,TOTAL OTHER FINANCIAL COST
Meals & Entertainment,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Wages - Security - 1099,OTHER STAFF COST,OTHER STAFF COST
Tangible Property Taxes,FINANCIAL COST,FINANCIAL COST
NY Paid Family Leave,OTHER STAFF COST,OTHER STAFF COST
2,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Equipment Rental,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
*Undeposited Funds,Other Income & Expenses,TOTAL OTHER FINANCIAL COST
Other Staff Cost,TOTAL OTHER STAFF COST,STAFF COST
Accumulated Amortization,P & L Depreciation & Amortization,TOTAL OTHER FINANCIAL COST
Postage & Courier,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Cakes Cost,Cost of Sales - Bakery,TOTAL OTHER STAFF COST
Cleaning - Stock adjustment,Other Expenses,Other Expenses
Sales and Use Tax,OTHER FINANCIAL COST,OTHER FINANCIAL COST
Inventory Asset,Total Cost of Goods Sold,TOTAL OTHER STAFF COST
Food - Stock Adjustment,Cost of Sales - Food,Cost of Sales - Food
Real Estate Escalation Tax,OCCUPANCY,OCCUPANCY
Paperchase E-Card 7895,TOTAL SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Pest Control,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Accounts Payable - EUR,Other Charges,TOTAL OTHER EXPENSE
Furniture and Fixtures,Furniture and Fixtures,Other Expenses
Ny Re-employment,Total Employer Taxes,STAFF COST
POS,GENERAL & ADMINISTRATIVE,GENERAL & ADMINISTRATIVE
BOH Supplies & Accessories,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Loan 2,Interest on Loans,TOTAL FINANCIAL COST
Paper Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Server,Total Wages - F.O.H. Wages,STAFF COST
Unreconciled Net Wages Payable,Total Wages - F.O.H. Salaried,STAFF COST
Produce Cost,TOTAL FOOD,TOTAL FOOD
Kitchen,BOH SALARIES,STAFF COST
Gas,OCCUPANCY,OCCUPANCY
Bank-4,Bank Interest,TOTAL FINANCIAL COST
Contract Labor,Total OTHER STAFF COST,Total OTHER STAFF COST
Other Beverages Inventory,Total Beverages,TOTAL OTHER STAFF COST
Champagne Purchases,Total Cost of Sales - Champagne,COST OF GOODS SOLD
Credit Card - 2,Total Other Expense,TOTAL OTHER STAFF COST
