LineItem,Parent,GrandParent
Water,OCCUPANCY,OCCUPANCY
Charge Back - Covid,FINANCIAL COST,FINANCIAL COST
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Repairs - Equipment,REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST,TOTAL OTHER STAFF COST
Web Design,ADVERTISING/PROMOTION,ADVERTISING/PROMOTION
P & L Amortization,PL Depreciation & Amortization,PL Depreciation & Amortization
Cash - Wages,STAFF COST,STAFF COST
Entertainment Meals,ADVERTISING/PROMOTION,ADVERTISING/PROMOTION
Advertising,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Glassware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Tips Paid,Tips Paid,Tips Paid
Wages - F.O.H. Salaries,STAFF COST,STAFF COST
PL Depreciation & Amortization,P & L Depreciation & Amortization,PL Depreciation & Amortization
Flatware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Liquor - Stock Adjustment,Cost of Sales - Liquor,Cost of Sales - Liquor
Staff First Aid,OTHER STAFF COST,OTHER STAFF COST
Gross Profit - Wines,Gross Profit - Wines,Gross Profit - Wines
Staff Meals,OTHER STAFF COST,OTHER STAFF COST
TOTAL REPAIR & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
GROSS PROFIT,GROSS PROFIT,GROSS PROFIT
Bank Interest,Bank Interest,Bank Interest
Cost of Sales - Tea/Coffee - Other,Total Cost of Sales - Tea/Coffee,COST OF GOODS SOLD
Revenue - Tea/Coffee,REVENUE,REVENUE
Gas,OCCUPANCY,OCCUPANCY
Music,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Non-Revenue Service Charge,REVENUE,REVENUE
Revenue - Liquor,REVENUE,REVENUE
Wages – Contractor,STAFF COST,STAFF COST
TOTAL REPAIR & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE,REPAIRS & MAINTENANCE
Insurance,OCCUPANCY,OCCUPANCY
NYC LLC FILLING FEES,FINANCIAL COST,FINANCIAL COST
Other Income,Other Income & Expenses,Other Income & Expenses
Internet/Email,TOTAL COMMUNICATION,TOTAL COMMUNICATION
Airfare,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
