LineItem,Parent,GrandParent
Accounting Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Advertising,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Advertising and Promotion - Other,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Amortization Expense,P & L Depreciation & Amortization,P & L Depreciation & Amortization
Audit Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Auto Expenses,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Bank Carges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
BOH - Other,BOH - Other,TOTAL STAFF COST
Branding & Design,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
CAM Charges,OCCUPANCY,OCCUPANCY
Chargebacks,REVENUE,REVENUE
China,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Cleaning Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Commercial Rent Tax,OCCUPANCY,OCCUPANCY
Commission,OTHER STAFF COST,OTHER STAFF COST
Commission Expenses,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Complimentry Cost,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Consulting Fee,Consulting Fee,STAFF COST
Contract Labor - Other,OTHER STAFF COST,OTHER STAFF COST
Corporate Tax Expense,FINANCIAL COST,FINANCIAL COST
Electricity,OCCUPANCY,OCCUPANCY
Employee Benefits - Other,OTHER STAFF COST,OTHER STAFF COST
Employee Parking / Bus Passes,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Employer Taxes - Other,TOTAL STAFF COST,STAFF COST
Equipment Rental,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Event Income,Other Income,Other Income
Exchange Differences,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Extra/Short Receipts,REVENUE,REVENUE
Accounting Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Advertising,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Advertising and Promotion - Other,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Amortization Expense,P & L Depreciation & Amortization,P & L Depreciation & Amortization
Audit Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Auto Expenses,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Bank Carges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
BOH - Other,BOH - Other,TOTAL STAFF COST
Branding & Design,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
CAM Charges,OCCUPANCY,OCCUPANCY
Chargebacks,REVENUE,REVENUE
China,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Cleaning Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Commercial Rent Tax,OCCUPANCY,OCCUPANCY
Commission,OTHER STAFF COST,OTHER STAFF COST
Commission Expenses,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Complimentry Cost,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Consulting Fee,Consulting Fee,STAFF COST
Contract Labor - Other,OTHER STAFF COST,OTHER STAFF COST
Corporate Tax Expense,FINANCIAL COST,FINANCIAL COST
Electricity,OCCUPANCY,OCCUPANCY
Employee Benefits - Other,OTHER STAFF COST,OTHER STAFF COST
Employee Parking / Bus Passes,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
Employer Taxes - Other,TOTAL STAFF COST,STAFF COST
Equipment Rental,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Event Income,Other Income,Other Income
Exchange Differences,TOTAL OTHER EXPENSES,TOTAL OTHER EXPENSES
Extra/Short Receipts,REVENUE,REVENUE
Accounting Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Advertising,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Advertising and Promotion - Other,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Amortization Expense,P & L Depreciation & Amortization,P & L Depreciation & Amortization
Audit Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Auto Expenses,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Bank Carges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
BOH - Other,BOH - Other,TOTAL STAFF COST
Branding & Design,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
CAM Charges,OCCUPANCY,OCCUPANCY
Chargebacks,REVENUE,REVENUE
China,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Cleaning Supplies,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Commercial Rent Tax,OCCUPANCY,OCCUPANCY
Commission,OTHER STAFF COST,OTHER STAFF COST
Commission Expenses,TOTAL FINANCIAL COST,TOTAL FINANCIAL COST
Complimentry Cost,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Consulting Fee,Consulting Fee,STAFF COST
Contract Labor - Other,OTHER STAFF COST,OTHER STAFF COST
Corporate Tax Expense,FINANCIAL COST,FINANCIAL COST
Electricity,OCCUPANCY,OCCUPANCY
Employee Benefits - Other,OTHER STAFF COST,OTHER STAFF COST
Employee Parking / Bus Passes,OTHER EMPLOYEE EXPENSES,OTHER EMPLOYEE EXPENSES
